date,size,month
29/06/2018,4.025429688,0
30/06/2018,0.040986328,666.821416
1/07/2018,2.904648438,0
2/07/2018,456.0552441,0
3/07/2018,649.0762793,0
4/07/2018,599.0012305,0
5/07/2018,103.0262109,0
6/07/2018,130.165498,0
7/07/2018,0.850507813,0
8/07/2018,3.573671875,0
9/07/2018,13.82381836,0
10/07/2018,30.49361328,0
11/07/2018,103.6058887,0
12/07/2018,39.93886719,0
13/07/2018,10.38800781,0
14/07/2018,0.856738281,0
15/07/2018,2.841025391,0
16/07/2018,12.95081055,0
17/07/2018,7.231533203,0
18/07/2018,4.536630859,0
19/07/2018,4.296005859,0
20/07/2018,2.560742188,0
21/07/2018,1.102441406,0
22/07/2018,15.96771484,0
23/07/2018,5.271025391,0
24/07/2018,84.48505859,0
25/07/2018,40.06341797,0
26/07/2018,27.4990625,0
27/07/2018,29.46182617,0
28/07/2018,0.879404297,0
29/07/2018,1.798876953,0
30/07/2018,9.730371094,0
31/07/2018,18.58024414,2413.016416
1/08/2018,29.39505859,0
2/08/2018,7.936816406,0
3/08/2018,3.837949219,0
4/08/2018,1.708203125,0
5/08/2018,2.764033203,0
6/08/2018,5.011787109,0
7/08/2018,5.733134766,0
8/08/2018,7.313857422,0
9/08/2018,4.364824219,0
10/08/2018,3.215078125,0
11/08/2018,0.892636719,0
12/08/2018,2.825244141,0
13/08/2018,13.81244141,0
14/08/2018,12.03805664,0
15/08/2018,11.3415625,0
16/08/2018,8.218671875,0
17/08/2018,6.080917969,0
18/08/2018,1.573408203,0
19/08/2018,2.746962891,0
20/08/2018,10.57685547,0
21/08/2018,12.94181641,0
22/08/2018,7.345126953,0
23/08/2018,11.46195313,0
24/08/2018,4.405390625,0
25/08/2018,0.919072266,0
26/08/2018,10.42592773,0
27/08/2018,11.83679688,0
28/08/2018,5.792294922,0
29/08/2018,9.947529297,0
30/08/2018,8.761230469,0
31/08/2018,4.701435547,229.9260742
1/09/2018,5.213164063,0
2/09/2018,4.507089844,0
3/09/2018,11.00960938,0
4/09/2018,10.03987305,0
5/09/2018,22.95307617,0
6/09/2018,10.60782227,0
7/09/2018,3.408857422,0
8/09/2018,0.921328125,0
9/09/2018,1.879355469,0
10/09/2018,23.07756836,0
11/09/2018,23.64760742,0
12/09/2018,40.35279297,0
13/09/2018,18.728017,0
